"","Year","Month","Day","totflfAs","totflfAsstd","seedsfAs","seedsfAsstd","leafflfAs","leafflfAsstd","fruitflfAs","fruitflfAsstd","flowerflfAs","flowerflfAsstd","branchflfAs","branchflfAsstd"
"1",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2013,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2013,6,NA,0.701574803149606,0.0855631851817348,NA,NA,0.59896062992126,0.0711686790476704,0.0248906386701662,0.00598231237229488,0.0355416779799077,NA,0.0661732283464567,0.0269065371634398
"7",2013,7,NA,0.760992125984252,0.139184773305615,NA,NA,0.504708661417323,0.0388579783899219,0.0197975253093363,0.00371519902507036,0.0285187007874016,NA,0.231984251968504,0.121751424323573
"8",2013,8,NA,0.981206299212598,0.0674028216211611,NA,NA,0.767669291338583,0.0569150436526031,0.0255167322834646,0.00778916055652839,0.0250524934383202,NA,0.181354330708661,0.0607209277108159
"9",2013,9,NA,1.07552755905512,0.0702655310885528,NA,NA,0.888566929133858,0.0619226280678052,0.0452755905511811,0.0102613461068118,0.0332395950506187,NA,0.137448818897638,0.0373015399343838
"10",2013,10,NA,0.69163779527559,0.0497603494781212,NA,NA,0.591086614173228,0.045093098379261,0.0253758052970651,0.0045353734188394,0.0391848077813803,NA,0.058503937007874,0.0227557352253662
"11",2013,11,NA,1.10911811023622,0.0798800841657191,NA,NA,0.739811023622047,0.0584236064615059,0.0609448818897638,0.0212588847230948,0.0334645669291339,NA,0.284110236220472,0.0581292596663246
"12",2013,12,NA,0.437590551181102,0.0422850293214286,NA,NA,0.302393700787402,0.0275184075942906,0.091029246344207,0.0280486778369625,0.0317465998568361,NA,0.0689763779527559,0.0251377156309564
"13",2014,1,NA,0.828976377952756,0.0996095488768912,NA,NA,0.469007874015748,0.0488612101791294,0.0725503062117235,0.0202195483296174,0.127474690663667,NA,0.234047244094488,0.0707455306375855
"14",2014,2,NA,0.477070866141732,0.068524396890348,NA,NA,0.331905511811024,0.0285360066688973,0.135979877515311,0.0725968434382974,0.0913877952755906,NA,0.0158740157480315,0.00509644718873333
"15",2014,3,NA,0.830251968503937,0.0788862839625808,NA,NA,0.594362204724409,0.0478192392804328,0.0795812455261274,0.0439357398385112,0.145177165354331,NA,0.141212598425197,0.0349122241207878
"16",2014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2014,5,NA,0.867244094488189,0.0569808097253688,NA,NA,0.685086614173228,0.0486512303635215,0.0260145366444579,0.00861886838045041,0.0653149606299213,NA,0.136047244094488,0.0324820335185212
"18",2014,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2014,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2014,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2014,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2014,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2014,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2014,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
