"","plot_code","measurement_code","year","month","avg","sd","collection_date"
"1","LPG-01","",2013,7,0.252137088369667,0.126267868507829,15917
"2","LPG-01","",2013,8,0.256114417856246,0.116179763738668,15946
"3","LPG-01","",2013,9,0.255470478647616,0.123150842763942,15975
"4","LPG-01","",2013,10,0.257838007928673,0.125359406413883,16006
"5","LPG-01","",2013,11,0.261318453550971,0.145607784238793,16029
"6","LPG-01","",2014,1,0.263842378257116,0.127613332114699,16087
"7","LPG-01","",2014,2,0.261869070038937,0.123923969400317,16120
"8","LPG-01","",2014,3,0.2647954592137,0.135393417154,16149
"9","LPG-01","",2014,5,0.267361128224448,0.127386072152302,16219
"10","LPG-01","",2014,6,0.230973337257123,0.110612952163667,16240
"11","LPG-01","",2014,7,0.22943107819911,0.11638500872799,16267
"12","LPG-01","",2014,9,0.294508039752215,0.14524331322837,16332
"13","LPG-01","",2014,10,0.259922012212083,0.148888223851975,16370
"14","LPG-01","",2014,11,0.268940002752605,0.148728407402657,16398
"15","LPG-01","",2015,1,0.260868948536134,0.156977984045798,16457
"16","LPG-01","",2015,2,0.292443859045727,0.168894049750733,16484
"17","LPG-01","",2015,3,0.311293179238043,0.172142912767922,16518
"18","LPG-01","",2015,4,0.301150316206179,0.171593022757156,16546
"19","LPG-01","",2015,5,0.305593554040906,0.192595295026254,16575
"20","LPG-01","",2015,6,0.288699835735396,0.166394902026725,16612
"21","LPG-01","",2015,7,0.255372087548755,0.176162594859345,16632
"22","LPG-01","",2015,8,0.298983653303644,0.166923538605881,16668
"23","LPG-01","",2015,9,0.392474778346505,0.197124030530432,16702
"24","LPG-01","",2015,10,0.366357123947492,0.201979521111288,16729
"25","LPG-01","",2015,11,0.301592520563949,0.219503777891435,16756
"26","LPG-01","",2016,1,0.416580360681233,0.269804918085131,16814
"27","LPG-01","",2016,2,0.460358274998071,0.297575157403773,16848
"28","LPG-01","",2016,3,0.374197818011917,0.254909686699397,16881
"29","LPG-01","",2016,5,0.396371894737324,0.253464708658908,16946
"30","LPG-01","",2016,6,0.379175746494194,0.253904629692817,16966
"31","LPG-01","",2016,7,0.445632336097205,0.340234421237806,17002
"32","LPG-01","",2016,8,0.440866966663231,0.310055944053162,17043
"33","LPG-01","",2016,9,0.405959321515938,0.243600868717172,17065
"34","LPG-01","",2016,10,0.414630182636927,0.254435962764606,17093
"35","LPG-01","",2016,12,0.491125125103141,0.330550823631174,17142
"36","LPG-02","",2013,7,0.31840553967716,0.188075527959446,15889
"37","LPG-02","",2013,8,0.353998788724589,0.207776205410001,15919
"38","LPG-02","",2013,9,0.355617065616137,0.209819255741792,15974
"39","LPG-02","",2013,10,0.355403303187541,0.194621745340901,16007
"40","LPG-02","",2013,11,0.401970513654267,0.258057762866045,16031
"41","LPG-02","",2014,1,0.311816956198488,0.202950482251939,16086
"42","LPG-02","",2014,2,0.343139038045383,0.218235691557869,16122
"43","LPG-02","",2014,3,0.310337300238684,0.178396218586318,16155
"44","LPG-02","",2014,4,0.347875081585205,0.21405972497431,16182
"45","LPG-02","",2014,5,0.319891119712336,0.214351695198613,16217
"46","LPG-02","",2014,6,0.31158600085916,0.19410089533204,16241
"47","LPG-02","",2014,7,0.283717516154812,0.176533799353963,16268
"48","LPG-02","",2014,9,0.371078203921154,0.250131081648481,16335
"49","LPG-02","",2014,10,0.34084817740452,0.194675071310782,16365
"50","LPG-02","",2014,11,0.383372145179926,0.191769238053584,16403
"51","LPG-02","",2015,1,0.306398191759561,0.157675968534809,16458
"52","LPG-02","",2015,2,0.342445001022207,0.311671475002221,16486
"53","LPG-02","",2015,3,0.357068250465642,0.203902444217807,16517
"54","LPG-02","",2015,4,0.440567396950823,0.303543803994029,16547
"55","LPG-02","",2015,5,0.384112487290103,0.254327665388078,16576
"56","LPG-02","",2015,6,0.267176653994583,0.169839434284459,16611
"57","LPG-02","",2015,7,0.25318820424474,0.156196931089395,16636
"58","LPG-02","",2015,8,0.328436907795502,0.336605721405871,16667
"59","LPG-02","",2015,9,0.372440798602338,0.178451428715044,16706
"60","LPG-02","",2015,10,0.412727329584771,0.258640033350851,16728
"61","LPG-02","",2016,1,0.389064101918851,0.206624200284277,16813
"62","LPG-02","",2016,2,0.469789718184638,0.242505228752901,16853
"63","LPG-02","",2016,3,0.538230525643237,0.301183204188662,16883
"64","LPG-02","",2016,5,0.571514431208808,0.415949107883023,16947
"65","LPG-02","",2016,6,0.541802878708699,0.403129871445254,16969
"66","LPG-02","",2016,7,0.461343457357205,0.264270172210059,17004
"67","LPG-02","",2016,8,0.535847911518139,0.308929695428332,17042
"68","LPG-02","",2016,9,0.363200164213715,0.208207582681257,17063
"69","LPG-02","",2016,10,0.467991015839472,0.25905219996748,17095
"70","LPG-02","",2016,11,0.325379227224229,0.185583560877932,17108
