"","year","month","day","threemonthlyNPProot","threemonthlyNPProot_sd","date","d","interval","monthlyNPProot","monthlyNPProot_se","plot_code"
"1",2015,2,12,1.30758550917636,1.09027423890472,2015-02-12,"2/12/2015",90,0.435861836392121,0.0908561865753933,"STB-08"
"2",2015,5,18,0.800010892514557,0.319993523310346,2015-05-18,"5/18/2015",98,0.244901293626905,0.0244893002533428,"STB-08"
"3",2015,8,4,0.275304308886239,0.286482713194307,2015-08-04,"8/4/2015",84,0.0983229674593709,0.0255788136780631,"STB-08"
"4",2015,11,23,0.343375865574871,0.431415662680329,2015-11-23,"11/23/2015",112,0.0919756782789832,0.0288894416973435,"STB-08"
"5",2016,3,2,0.878910924851105,0.774003680167247,2016-03-02,"3/2/2016",84,0.313896758875394,0.0691074714435042,"STB-08"
"6",2016,5,11,0.69930762005164,0.471468861133738,2016-05-11,"5/11/2016",99,0.211911400015649,0.0357173379646771,"STB-08"
"7",2016,8,18,0.668484962103871,0.476137181073694,2016-08-18,"8/18/2016",70,0.286493555187373,0.0510146979721815,"STB-08"
"8",2016,11,10,0.196902744922484,0.162213173253166,2016-11-10,"11/10/2016",100,0.0590708234767453,0.0121659879939875,"STB-08"
"9",2017,3,2,0.893752723537705,0.748655434153823,2017-03-02,"3/2/2017",111,0.241554790145326,0.0505848266320151,"STB-08"
"10",2017,5,25,0.362951420292585,0.232027592467986,2017-05-25,"5/25/2017",78,0.139596700112533,0.022310345429614,"STB-08"
"11",2017,8,31,0.291134102875302,0.0543778699764301,2017-08-31,"8/31/2017",95,0.0919370851185165,0.00429298973498132,"STB-08"
