"","year","month","day","threemonthlyNPProot","threemonthlyNPProot_sd","date","d","interval","monthlyNPProot","monthlyNPProot_se","monthlyNPProot_sd","plot_code"
"1",2015,2,12,1.3506160853946,1.09625036678456,2015-02-12,"2/12/2015",90,0.450205361798201,0.0913541972320464,0.365416788928186,"STB-08"
"2",2015,5,18,0.833615258929819,0.313706008159971,2015-05-18,"5/18/2015",98,0.255188344570353,0.0240081128693855,0.0960324514775421,"STB-08"
"3",2015,8,4,0.285133713532005,0.293989227411497,2015-08-04,"8/4/2015",84,0.101833469118573,0.0262490381617408,0.104996152646963,"STB-08"
"4",2015,11,23,0.358771805155091,0.450597039204213,2015-11-23,"11/23/2015",112,0.0960995906665422,0.0301739088752821,0.120695635501128,"STB-08"
"5",2016,3,2,0.946996139549255,0.822649473822683,2016-03-02,"3/2/2016",84,0.338212906981877,0.0734508458770253,0.293803383508101,"STB-08"
"6",2016,5,11,0.724507226642779,0.478846740646808,2016-05-11,"5/11/2016",99,0.219547644437206,0.0362762682308188,0.145105072923275,"STB-08"
"7",2016,8,18,0.692501074367506,0.485590166828868,2016-08-18,"8/18/2016",70,0.296786174728931,0.0520275178745216,0.208110071498086,"STB-08"
"8",2016,11,10,0.202550356996288,0.17016550223588,2016-11-10,"11/10/2016",100,0.0607651070988863,0.012762412667691,0.051049650670764,"STB-08"
"9",2017,3,2,0.937679469371497,0.78825106282853,2017-03-02,"3/2/2017",111,0.253426883613918,0.0532602069478737,0.213040827791495,"STB-08"
"10",2017,5,25,0.37849013177873,0.235755987426175,2017-05-25,"5/25/2017",78,0.145573127607204,0.0226688449448246,0.0906753797792983,"STB-08"
"11",2017,8,31,0.304769775494907,0.0474757614866082,2017-08-31,"8/31/2017",95,0.0962430869983917,0.00374808643315328,0.0149923457326131,"STB-08"
